rowname,x,y;;;
20940177546,18.463138,-33.951847;;;
20940177548,18.46249,-33.952968;;;
20940177550,18.46166,-33.949962;;;
20940177552,18.46188,-33.95055;;;
20940177554,18.464633,-33.947798;;;
20940177556,18.459558,-33.945758;;;
20940177558,18.454018,-33.943213;;;
20940177560,18.454088,-33.943717;;;
20940177562,18.453057,-33.960057;;;
20940177564,18.457405,-33.96375;;;
20940177566,18.429388,-33.980345;;;
20940177568,18.430175,-33.980045;;;
20940177570,18.430022,-33.979863;;;
20940177572,18.428777,-33.977072;;;
20940177573,18.43752,-33.969868;;;
20940177574,18.45704,-33.964162;;;
20940177575,18.4575,-33.956718;;;
20940177576,18.458788,-33.955983;;;
20940177577,18.464108,-33.950515;;;
20940177578,18.464573,-33.949807;;;
20940177579,18.463732,-33.94395;;;
20940177580,18.455943,-33.942638;;;
20940177581,18.44186,-33.943043;;;
20940177582,18.440977,-33.939953;;;
20940177583,18.444403,-33.939097;;;
20940177584,18.44734,-33.940722;;;
20940177585,18.438308,-33.942887;;;
20940177586,18.430572,-33.941757;;;
20940177587,18.419215,-33.95322;;;
20940177588,18.39861,-33.94318;;;
20940177589,18.392855,-33.947228;;;
20940177590,18.391872,-33.94879;;;
20940177591,18.392142,-33.948478;;;
20940177592,18.393287,-33.949687;;;
20940177593,18.384917,-33.942113;;;
20940177594,18.386168,-33.934457;;;
20940177595,18.38607,-33.934292;;;
20940177596,18.386045,-33.934185;;;
20940177597,18.388092,-33.936823;;;
20940177598,18.392057,-33.943518;;;
20940177599,18.387915,-33.943453;;;
20940177600,18.382297,-33.933275;;;
20940177601,18.399032,-33.921388;;;
20940177602,18.409013,-33.916255;;;
20940177603,18.395708,-33.930953;;;
20940177604,18.392033,-33.945942;;;
20940177605,18.391228,-33.944468;;;
20940177606,18.391393,-33.94443;;;
20940177607,18.391068,-33.944375;;;
20940177608,18.393778,-33.942787;;;
20940177609,18.392352,-33.94314;;;
20940177610,18.392302,-33.943133;;;
20940177611,18.392298,-33.943097;;;
20940177612,18.392147,-33.94325;;;
20940177613,18.392198,-33.943198;;;
20940177614,18.392155,-33.943232;;;
20940177615,18.392138,-33.94322;;;
20940177616,18.392102,-33.943203;;;
20940177617,18.391247,-33.943748;;;
20940177618,18.391162,-33.941442;;;
20940177619,18.39026,-33.941225;;;
20940177620,18.392158,-33.941735;;;
20940177621,18.39253,-33.941887;;;
20940177622,18.392692,-33.94225;;;
20940177623,18.393133,-33.942175;;;
20940177624,18.392853,-33.942323;;;
20940177625,18.393397,-33.944607;;;
20940177626,18.392677,-33.942707;;;
20940177627,18.392887,-33.94252;;;
20940177628,18.392738,-33.942432;;;
20940177629,18.392622,-33.942508;;;
20940177630,18.392662,-33.942388;;;
20940177631,18.391395,-33.942655;;;
20940177632,18.387712,-33.943453;;;
20940177633,18.387587,-33.943865;;;
20940177634,18.387518,-33.944025;;;
20940177635,18.387138,-33.94367;;;
20940177636,18.387617,-33.94322;;;
20940177637,18.387763,-33.943293;;;
20940177638,18.387883,-33.943207;;;
20940177639,18.388398,-33.943015;;;
20940177640,18.385725,-33.942973;;;
20940177641,18.383113,-33.943657;;;
20940177642,18.383392,-33.943923;;;
20940177643,18.382053,-33.94419;;;
20940177644,18.380682,-33.944463;;;
20940177645,18.382787,-33.942438;;;
20940177646,18.383413,-33.943655;;;
20940177647,18.383397,-33.943767;;;
20940177648,18.385653,-33.94275;;;
20940177649,18.389328,-33.94402;;;
20940177650,18.39219,-33.942473;;;
20940177651,18.39229,-33.942903;;;
20940177652,18.393577,-33.944695;;;
20940177653,18.394658,-33.947567;;;
20940177654,18.394765,-33.948192;;;
20940177655,18.394077,-33.94971;;;
20940177656,18.393682,-33.949648;;;
20940177657,18.392447,-33.949018;;;
20940177658,18.39261,-33.948768;;;
20940177659,18.392747,-33.94854;;;
20940177660,18.39254,-33.947992;;;
20940177661,18.39239,-33.94808;;;
20940177662,18.392055,-33.948397;;;
20940177663,18.391065,-33.949248;;;
20940177664,18.390552,-33.952052;;;
20940177665,18.39065,-33.952277;;;
20940177666,18.3912,-33.953437;;;
20940177667,18.391263,-33.953433;;;
20940177668,18.391295,-33.953435;;;
20940177669,18.391288,-33.953413;;;
20940177670,18.391282,-33.953423;;;
20940177671,18.391272,-33.95344;;;
20940177672,18.391295,-33.953435;;;
20940177673,18.39131,-33.953473;;;
20940177674,18.391302,-33.95336;;;
20940177675,18.391318,-33.953308;;;
20940177676,18.391372,-33.953255;;;
20940177677,18.391403,-33.953298;;;
20940177678,18.391358,-33.953327;;;
20940177679,18.391433,-33.953418;;;
20940177680,18.391243,-33.95336;;;
20940177681,18.391337,-33.953523;;;
20940177682,18.391523,-33.95352;;;
20940177683,18.391453,-33.953157;;;
20940177684,18.39174,-33.953312;;;
20940177685,18.385522,-33.968313;;;
20940177686,18.373228,-33.979157;;;
20940177687,18.359638,-33.987742;;;
20940177688,18.356873,-33.994523;;;
20940177689,18.356578,-33.994508;;;
20940177690,18.356673,-33.994608;;;
20940177691,18.356312,-33.995558;;;
20940177692,18.356353,-34.010422;;;
20940177693,18.39041,-34.0067;;;
20940177694,18.391867,-34.003632;;;
20940177695,18.39001,-34.006727;;;
20940177696,18.390272,-34.006668;;;
20940177697,18.389755,-34.00754;;;
20940177698,18.38973,-34.007565;;;
20940177699,18.390357,-34.00814;;;
20940177700,18.403552,-34.009773;;;
20940177701,18.40906,-34.00827;;;
20940177702,18.390255,-34.008797;;;
20940177703,18.39162,-34.009372;;;
20940177704,18.389763,-34.007667;;;
